perft([I]) = 17 in 34.467µs (493.225K nodes/sec)
Finesse([SoftDrop, DasRight, RotateFlip]) Move(S, South, 8, 4, None) -> Move(S, North, 8, 3, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, ShiftRight, ShiftRight]) Move(S, North, 6, 4, None) -> Move(S, North, 6, 4, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, ShiftRight, RotateCW]) Move(S, East, 5, 4, None) -> Move(S, East, 5, 4, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, ShiftRight, RotateCCW]) Move(S, West, 5, 4, None) -> Move(S, East, 4, 4, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, ShiftRight, RotateFlip]) Move(S, South, 5, 4, None) -> Move(S, North, 5, 3, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, RotateCCW, DasRight]) Move(S, West, 9, 4, None) -> Move(S, East, 8, 4, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, RotateFlip, DasLeft]) Move(S, South, 1, 5, None) -> Move(S, North, 1, 4, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, RotateFlip, DasRight]) Move(S, South, 8, 5, None) -> Move(S, North, 8, 4, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, RotateFlip, ShiftRight]) Move(S, South, 5, 5, None) -> Move(S, North, 5, 4, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, RotateFlip, RotateCW]) Move(S, West, 4, 5, None) -> Move(S, East, 3, 5, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, RotateFlip, RotateCCW]) Move(S, East, 4, 5, None) -> Move(S, East, 4, 5, None) vs Move(S, West, 2, 1, None)
Finesse([SoftDrop, RotateFlip, RotateFlip]) Move(S, North, 4, 5, None) -> Move(S, North, 4, 5, None) vs Move(S, West, 2, 1, None)
Finesse([RotateCW, SoftDrop, RotateCCW]) Move(S, North, 5, 1, None) -> Move(S, North, 5, 1, None) vs Move(S, West, 2, 1, None)
Finesse([DasLeft, ShiftRight, SoftDrop, RotateCCW]) Move(S, West, 2, 1, None) -> Move(S, East, 1, 1, None) vs Move(S, West, 2, 1, None)
[32mFinesse([DasLeft, ShiftRight, SoftDrop, RotateCCW]) Move(S, West, 2, 1, None)[0m
